step,oirf,stdoirf,irfname,response,impulse,ub95,ub68,lb95,lb68
0,0,0,irfs_monetary,Consumption_log,FFR,0,0,0,0
0,.7795609108517111,.0763050664094284,irfs_monetary,FFR,FFR,.92911881,.85548443,.63000298,.70363736
0,0,0,irfs_monetary,GDPDef_log,FFR,0,0,0,0
0,0,0,irfs_monetary,GDP_log,FFR,0,0,0,0
0,0,0,irfs_monetary,Investment_log,FFR,0,0,0,0
0,0,0,irfs_monetary,RD_BEA_log,FFR,0,0,0,0
0,0,0,irfs_monetary,TFP_Util_log,FFR,0,0,0,0
1,-.0016445638454179,.0003827232619124,irfs_monetary,Consumption_log,FFR,-.00089442625,-.0012637542,-.0023947014,-.0020253735
1,.8048016729182039,.0919944020833359,irfs_monetary,FFR,FFR,.9851107,.89633608,.62449265,.71326727
1,.0005271481777526,.0001615671495885,irfs_monetary,GDPDef_log,FFR,.00084381981,.00068790751,.00021047656,.00036638888
1,-.0001849715394558,.0004014108083778,irfs_monetary,GDP_log,FFR,.00060179364,.00021443222,-.00097173674,-.00058437529
1,.0035752915263153,.0019677016968656,irfs_monetary,Investment_log,FFR,.0074319867,.0055331546,-.0002814038,.0016174284
1,.0011246361445285,.0007048268396843,irfs_monetary,RD_BEA_log,FFR,.0025060968,.0018259388,-.00025682445,.00042333343
1,-.0004672175431799,.0004663838805351,irfs_monetary,TFP_Util_log,FFR,.00044689488,-3.1655820e-06,-.00138133,-.00093126949
2,-.0026629462088107,.0005015778215561,irfs_monetary,Consumption_log,FFR,-.0016798537,-.0021638763,-.0036460387,-.0031620162
2,.6928669689739769,.0938194678920325,irfs_monetary,FFR,FFR,.87675315,.78621733,.50898081,.59951657
2,.0010471097597839,.000293261831163,irfs_monetary,GDPDef_log,FFR,.0016219029,.0013389053,.00047231658,.00075531425
2,-.0017201794976628,.0005495539532773,irfs_monetary,GDP_log,FFR,-.00064305373,-.0011733733,-.0027973054,-.0022669856
2,-.0037989036172904,.0028795797685079,irfs_monetary,Investment_log,FFR,.0018450727,-.00093372172,-.0094428798,-.0066640857
2,.0010363509728329,.0009284844760599,irfs_monetary,RD_BEA_log,FFR,.0028561805,.001960193,-.00078347861,.00011250892
2,-.0006280993588319,.0004949427937652,irfs_monetary,TFP_Util_log,FFR,.00034198852,-.00013563129,-.0015981873,-.0011205674
3,-.0034902625100367,.0006058583834404,irfs_monetary,Consumption_log,FFR,-.00230278,-.0028874334,-.004677745,-.0040930915
3,.5821872161531025,.0910738060827025,irfs_monetary,FFR,FFR,.76069188,.67280567,.40368256,.49156877
3,.0015444560365307,.0004109129557042,irfs_monetary,GDPDef_log,FFR,.0023498454,.0019533145,.00073906663,.0011355976
3,-.0029640943380153,.00065363974815,irfs_monetary,GDP_log,FFR,-.0016829604,-.0023137229,-.0042452281,-.0036144659
3,-.0096958167828212,.0033247320927956,irfs_monetary,Investment_log,FFR,-.0031793418,-.0063877082,-.016212292,-.013003925
3,.0005687240546382,.0010815836319502,irfs_monetary,RD_BEA_log,FFR,.0026886279,.0016448997,-.0015511799,-.00050745165
3,-.000539639821868,.0005194457058053,irfs_monetary,TFP_Util_log,FFR,.00047847375,-.000022791344,-.0015577534,-.0010564883
4,-.0042168899938617,.0007180614305509,irfs_monetary,Consumption_log,FFR,-.0028094896,-.003502419,-.0056242906,-.0049313609
4,.4767886712036775,.0903031771898462,irfs_monetary,FFR,FFR,.6537829,.56664032,.29979444,.38693702
4,.0019814896650427,.0005232590433866,irfs_monetary,GDPDef_log,FFR,.0030070774,.0025021324,.00095590192,.0014608469
4,-.0040201702602593,.0007637849039299,irfs_monetary,GDP_log,FFR,-.0025231519,-.0032602043,-.0055171885,-.004780136
4,-.0143269791682442,.0037503296989817,irfs_monetary,Investment_log,FFR,-.006976333,-.010595401,-.021677626,-.018058557
4,-.0001118022121331,.0012327989477061,irfs_monetary,RD_BEA_log,FFR,.0023044837,.0011148327,-.0025280882,-.0013384372
4,-.0005251426466301,.000554903447908,irfs_monetary,TFP_Util_log,FFR,.00056246814,.000026986285,-.0016127534,-.0010772715
5,-.0048371378375219,.0008296109304989,irfs_monetary,Consumption_log,FFR,-.0032111004,-.0040116748,-.0064631752,-.0056626005
5,.380519518509203,.0905347409981316,irfs_monetary,FFR,FFR,.5579676,.47060159,.20307143,.29043746
5,.0023558441560305,.0006311180928564,irfs_monetary,GDPDef_log,FFR,.0035928355,.0029838067,.0011188526,.0017278816
5,-.0048898684469543,.0008736128053687,irfs_monetary,GDP_log,FFR,-.0031775874,-.0040206239,-.0066021495,-.005759113
5,-.0177810327916941,.0041873537676299,irfs_monetary,Investment_log,FFR,-.0095738191,-.013614615,-.025988245,-.021947449
5,-.0008551801116991,.0013645713454617,irfs_monetary,RD_BEA_log,FFR,.0018193797,.00050256838,-.00352974,-.0022129286
5,-.0005655901450662,.0005850933475983,irfs_monetary,TFP_Util_log,FFR,.00058119284,.000016577736,-.0017123731,-.001147758
6,-.0053468922275136,.0009340099467472,irfs_monetary,Consumption_log,FFR,-.0035162328,-.0044175521,-.0071775517,-.0062762322
6,.2950905436483094,.090331554675989,irfs_monetary,FFR,FFR,.4721404,.38497043,.1180407,.20521064
6,.0026667540947669,.0007345145118748,irfs_monetary,GDPDef_log,FFR,.0041064024,.0033975961,.0012271056,.0019359122
6,-.0055711450109191,.0009753213703304,irfs_monetary,GDP_log,FFR,-.0036595152,-.0046007005,-.007482775,-.0065415897
6,-.0201565873909858,.0045656273438618,irfs_monetary,Investment_log,FFR,-.011207958,-.015613788,-.029105216,-.024699386
6,-.0015944578391922,.0014619776214563,irfs_monetary,RD_BEA_log,FFR,.0012710183,-.00013979011,-.0044599338,-.0030491257
6,-.0006505667425392,.0006034528130559,irfs_monetary,TFP_Util_log,FFR,.00053220079,-.000050131195,-.0018333342,-.0012510023
7,-.0057482141676003,.001027212081745,irfs_monetary,Consumption_log,FFR,-.0037348785,-.004726138,-.0077615497,-.00677029
7,.2216501458156041,.0896272736461743,irfs_monetary,FFR,FFR,.39731961,.31082928,.045980688,.13247101
7,.0029165003882798,.0008333449121574,irfs_monetary,GDPDef_log,FFR,.0045498563,.0037456786,.0012831443,.0020873223
7,-.0060741446423853,.0010649561182355,irfs_monetary,GDP_log,FFR,-.0039868308,-.0050145132,-.0081614582,-.0071337759
7,-.0215702776763659,.0048509815497194,irfs_monetary,Investment_log,FFR,-.012062354,-.016743552,-.031078201,-.026397005
7,-.0022858894643217,.0015218013245821,irfs_monetary,RD_BEA_log,FFR,.0006968411,-.00077169714,-.0052686199,-.0038000818
7,-.000773023634762,.0006114444974661,irfs_monetary,TFP_Util_log,FFR,.00042540758,-.00016463635,-.0019714548,-.0013814109
8,-.0060469144310957,.0011073934891319,irfs_monetary,Consumption_log,FFR,-.0038764232,-.0049450579,-.0082174055,-.0071487711
8,.1605281259108016,.0888987395756794,irfs_monetary,FFR,FFR,.33476967,.24898237,-.013713404,.072073877
8,.0031097574533407,.0009277273989512,irfs_monetary,GDPDef_log,FFR,.0049281032,.0040328461,.0012914117,.0021866688
8,-.0064135452682764,.0011404610009934,irfs_monetary,GDP_log,FFR,-.0041782418,-.0052787866,-.0086488491,-.0075483038
8,-.0221489061364447,.0050334246935323,irfs_monetary,Investment_log,FFR,-.012283394,-.017140649,-.032014418,-.027157163
8,-.0029002162621457,.0015484844300395,irfs_monetary,RD_BEA_log,FFR,.00013481322,-.0013594743,-.0059352457,-.0044409581
8,-.0009245448924465,.0006127507072753,irfs_monetary,TFP_Util_log,FFR,.00027644649,-.00031485793,-.0021255363,-.0015342318
9,-.0062513285187197,.0011739932627743,irfs_monetary,Consumption_log,FFR,-.0039503016,-.0050832052,-.0085523557,-.0074194516
9,.1114798257389198,.0885573316186428,irfs_monetary,FFR,FFR,.28505221,.19959436,-.062092543,.023365282
9,.0032523959706651,.0010177936079446,irfs_monetary,GDPDef_log,FFR,.0052472716,.0042651007,.0012575205,.0022396913
9,-.0066075362679831,.0012007988924946,irfs_monetary,GDP_log,FFR,-.0042539705,-.0054127416,-.008961102,-.0078023314
9,-.0220284920821579,.0051164238184188,irfs_monetary,Investment_log,FFR,-.012000302,-.016937651,-.032056682,-.027119333
9,-.0034196032414794,.0015497612103632,irfs_monetary,RD_BEA_log,FFR,-.00038207127,-.0018775908,-.0064571351,-.0049616154
9,-.0010965697313252,.0006114079528023,irfs_monetary,TFP_Util_log,FFR,.00010178985,-.00048821882,-.0022949292,-.0017049207
10,-.0063715081031683,.0012272570239358,irfs_monetary,Consumption_log,FFR,-.0039660842,-.0051503875,-.008776932,-.0075926287
10,.0738451918450374,.0887003912226077,irfs_monetary,FFR,FFR,.24769796,.16210209,-.10000757,-.014411697
10,.0033508106328155,.001103616561205,irfs_monetary,GDPDef_log,FFR,.005513899,.0044489093,.0011877222,.0022527121
10,-.0066761169217459,.0012456718225592,irfs_monetary,GDP_log,FFR,-.0042346003,-.0054366733,-.009117634,-.0079155602
10,-.0213454131565137,.0051094958485125,irfs_monetary,Investment_log,FFR,-.011330801,-.016261464,-.031360026,-.026429361
10,-.0038347557118637,.001533485237226,irfs_monetary,RD_BEA_log,FFR,-.00082912465,-.002308938,-.0068403869,-.0053605735
10,-.0012808737926044,.0006106474914399,irfs_monetary,TFP_Util_log,FFR,-.000084004707,-.00067327952,-.002477743,-.001888468
11,-.0064184723659342,.0012680292302846,irfs_monetary,Consumption_log,FFR,-.003933135,-.0051567834,-.0089038098,-.0076801614
11,.046659994178589,.0891230471803024,irfs_monetary,FFR,FFR,.22134116,.13533743,-.12802118,-.042017438
11,.0034114655864301,.0011851755209484,irfs_monetary,GDPDef_log,FFR,.0057344097,.0045907153,.0010885216,.0022322158
11,-.00663991396707,.0012755266894461,irfs_monetary,GDP_log,FFR,-.0041398816,-.005370765,-.0091399467,-.0079090632
11,-.0202307770651824,.0050263170571898,irfs_monetary,Investment_log,FFR,-.010379195,-.015229591,-.030082358,-.025231963
11,-.0041429635318629,.0015061767619963,irfs_monetary,RD_BEA_log,FFR,-.001190857,-.0026443177,-.0070950701,-.0056416094
11,-.0014699952641147,.0006125137921071,irfs_monetary,TFP_Util_log,FFR,-.00026946823,-.00086054404,-.0026705223,-.0020794466
12,-.0064035810652765,.001297625314036,irfs_monetary,Consumption_log,FFR,-.0038602354,-.0051124441,-.0089469263,-.0076947184
12,.0287554001627882,.0894793231298811,irfs_monetary,FFR,FFR,.20413487,.11778732,-.14662407,-.060276527
12,.003440594194641,.0012623716872364,irfs_monetary,GDPDef_log,FFR,.0059148427,.0046966542,.00096634572,.0021845344
12,-.0065192434132132,.0012915973700157,irfs_monetary,GDP_log,FFR,-.0039877128,-.0052341041,-.0090507744,-.0078043826
12,-.0188061774396468,.0048836262348857,irfs_monetary,Investment_log,FFR,-.0092342701,-.013946969,-.028378084,-.023665385
12,-.0043465690333576,.0014725168585818,irfs_monetary,RD_BEA_log,FFR,-.001460436,-.0028814147,-.0072327019,-.0058117234
12,-.0016574620046391,.0006179186119053,irfs_monetary,TFP_Util_log,FFR,-.00044634152,-.001042633,-.0028685825,-.0022722911
13,-.0063380373057879,.0013176786700702,irfs_monetary,Consumption_log,FFR,-.0037553872,-.0050269472,-.0089206873,-.0076491274
13,.0188440416201687,.0894429774990068,irfs_monetary,FFR,FFR,.19415228,.10783981,-.15646419,-.070151724
13,.0034440004980169,.001335067329882,irfs_monetary,GDPDef_log,FFR,.0060607325,.0047723926,.00082726852,.0021156084
13,-.0063333914663037,.0012957895440953,irfs_monetary,GDP_log,FFR,-.003793644,-.0050440808,-.0088731386,-.007622702
13,-.0171807698539682,.004700286717585,irfs_monetary,Investment_log,FFR,-.0079682078,-.012503984,-.026393332,-.021857556
13,-.0044517121423825,.0014354409342916,irfs_monetary,RD_BEA_log,FFR,-.0016382479,-.0030234484,-.0072651762,-.0058799759
13,-.0018378976872515,.0006268745098727,irfs_monetary,TFP_Util_log,FFR,-.00060922367,-.0012141576,-.0030665717,-.0024616378
14,-.0062325063022962,.0013299820356024,irfs_monetary,Consumption_log,FFR,-.0036257415,-.0049091741,-.008839271,-.0075558382
14,.0155926996127417,.0887980129380057,irfs_monetary,FFR,FFR,.18963681,.10394672,-.15845141,-.07276132
14,.0034269325836285,.0014031230395669,irfs_monetary,GDPDef_log,FFR,.0061770538,.0048230402,.00067681144,.0020308252
14,-.006100096008738,.0012904459644849,irfs_monetary,GDP_log,FFR,-.0035708218,-.0048161023,-.0086293705,-.0073840898
14,-.0154495268787407,.0044956499601772,irfs_monetary,Investment_log,FFR,-.0066380529,-.010976356,-.024261001,-.019922698
14,-.0044672669133266,.0013965370499525,irfs_monetary,RD_BEA_log,FFR,-.0017300543,-.0030777126,-.0072044795,-.0058568213
14,-.0020070414954559,.0006388122008697,irfs_monetary,TFP_Util_log,FFR,-.0007549696,-.0013714234,-.0032591135,-.0026426597
15,-.0060968361002005,.0013363383434986,irfs_monetary,Consumption_log,FFR,-.003477613,-.0047671795,-.0087160589,-.0074264929
15,.0176817898839314,.0874611449003894,irfs_monetary,FFR,FFR,.18910563,.10470563,-.15374206,-.069342047
15,.0033940096343517,.0014664268014712,irfs_monetary,GDPDef_log,FFR,.0062682061,.0048531042,.0005198131,.001934915
15,-.0058351994568768,.0012780692678104,irfs_monetary,GDP_log,FFR,-.0033301837,-.0045635207,-.0083402153,-.0071068783
15,-.0136924561051408,.0042876132534235,irfs_monetary,Investment_log,FFR,-.0052887341,-.0094262809,-.022096178,-.017958632
15,-.0044039297420181,.0013565420635336,irfs_monetary,RD_BEA_log,FFR,-.0017451074,-.0030541704,-.0070627523,-.005753689
15,-.0021617068793964,.0006528887019495,irfs_monetary,TFP_Util_log,FFR,-.00088204502,-.0015120826,-.0034413687,-.0028113311
16,-.0059398672116308,.0013384295957277,irfs_monetary,Consumption_log,FFR,-.0033165452,-.0046081296,-.0085631888,-.0072716046
16,.0238522278801062,.0854639047274875,irfs_monetary,FFR,FFR,.19136149,.10888881,-.14365703,-.061184358
16,.0033491902678357,.0015249140046817,irfs_monetary,GDPDef_log,FFR,.0063380217,.0048664799,.00036035883,.0018319008
16,-.0055524469497859,.0012610635148552,irfs_monetary,GDP_log,FFR,-.0030807625,-.0042976886,-.0080241319,-.0068072053
16,-.0119745829373455,.0040907613244967,irfs_monetary,Investment_log,FFR,-.0039566909,-.0079042753,-.019992474,-.016044891
16,-.0042734419835437,.0013157924135352,irfs_monetary,RD_BEA_log,FFR,-.0016944888,-.0029642286,-.0068523949,-.0055826553
16,-.0022997001653138,.0006682277223811,irfs_monetary,TFP_Util_log,FFR,-.00098997378,-.0016348136,-.0036094266,-.0029645867
17,-.0057693187915013,.0013377136945884,irfs_monetary,Consumption_log,FFR,-.0031474,-.0044382936,-.0083912378,-.0071003437
