step,oirf,stdoirf,irfname,response,impulse,ub95,ub68,lb95,lb68
0,-.0002167825220245,.0008818196087227,var_largescale,cons,rd,.0015115839,.00066062796,-.0019451489,-.0010941931
0,0,0,var_largescale,gdp,rd,0,0,0,0
0,-.0015257115417767,.00103949403926,var_largescale,infl,rd,.0005116968,-.00049141498,-.0035631198,-.0025600081
0,-.000422013998067,.0035167722399569,var_largescale,invexrd,rd,.0064708595,.0030771743,-.0073148874,-.0039212024
0,-.0003352979992497,.0016158978906085,var_largescale,r,rd,.0028318618,.0012725204,-.0035024579,-.0019431164
0,.0384218977902825,.0043432217267402,var_largescale,rd,rd,.046934612,.042743403,.029909182,.034100391
0,0,0,var_largescale,tfp,rd,0,0,0,0
1,.0004664090021397,.0013279837326981,var_largescale,cons,rd,.0030692571,.0017877528,-.0021364391,-.0008549348
1,.0010505463601869,.0012096478713272,var_largescale,gdp,rd,.0034214561,.0022541459,-.0013203635,-.00015305328
1,-.0020841529906823,.0008331289659527,var_largescale,infl,rd,-.00045122023,-.0012551897,-.0037170858,-.0029131162
1,-.0013726534129025,.0054158362301984,var_largescale,invexrd,rd,.0092423856,.0040161037,-.011987693,-.0067614103
1,-.0009694209849442,.0016502899261385,var_largescale,r,rd,.0022651472,.00067261752,-.0042039892,-.0026114595
1,.0339320749262014,.0044572291639302,var_largescale,rd,rd,.042668246,.038367018,.025195906,.029497132
1,.0011579934350193,.0006675091608852,var_largescale,tfp,rd,.0024663114,.0018221651,-.00015032451,.0004938218
2,.0013234234817578,.001801015007205,var_largescale,cons,rd,.004853413,.0031154335,-.002206566,-.00046858646
2,.0021860091131593,.001841673288049,var_largescale,gdp,rd,.0057956888,.0040184739,-.0014236706,.00035354419
2,-.0021719803331163,.000852491046858,var_largescale,infl,rd,-.00050109788,-.0013237518,-.0038428628,-.003020209
2,.0000692685215112,.0067016149846541,var_largescale,invexrd,rd,.013204434,.0067373756,-.013065897,-.0065988386
2,-.0014731051430347,.0018447471028048,var_largescale,r,rd,.0021425991,.00036241821,-.0050888094,-.0033086285
2,.029169584464007,.0050541466619865,var_largescale,rd,rd,.039075714,.034198459,.019263458,.024140708
2,.0021662420053245,.0009863265092278,var_largescale,tfp,rd,.0040994422,.0031476368,.00023304205,.0011848471
3,.0022033997185992,.0021904687934396,var_largescale,cons,rd,.0064967186,.0043829163,-.0020899191,.000023883269
3,.0032043553520052,.0022614436332724,var_largescale,gdp,rd,.007636785,.0054544918,-.0012280742,.00095421897
3,-.0019654363157864,.0008867555421694,var_largescale,infl,rd,-.00022739546,-.0010831145,-.0037034771,-.0028477581
3,.0022071249944497,.0071314628865456,var_largescale,invexrd,rd,.016184792,.0093029309,-.011770543,-.0048886808
3,-.0017443618245933,.0019699251898458,var_largescale,r,rd,.0021166916,.00021571374,-.005605415,-.0037044373
3,.0245963099787099,.0056439896538261,var_largescale,rd,rd,.035658531,.03021208,.01353409,.01898054
3,.0029599093022436,.0011876625377193,var_largescale,tfp,rd,.0052877278,.0041416334,.00063209073,.0017781851
4,.0030154946692843,.0025053579636112,var_largescale,cons,rd,.0079259966,.005508326,-.001895007,.00052266347
4,.0040270719813521,.0025680780186228,var_largescale,gdp,rd,.0090605048,.0065823095,-.001006361,.0014718344
4,-.0015925507263933,.000892708039869,var_largescale,infl,rd,.00015715703,-.00070430624,-.0033422585,-.0024807951
4,.0042518931174112,.0071342078570557,var_largescale,invexrd,rd,.01823494,.01135043,-.009731154,-.0028466438
4,-.0017868968445031,.0020042684410221,var_largescale,r,rd,.0021414694,.00020735025,-.0057152631,-.003781144
4,.0204016369395324,.0060667485953227,var_largescale,rd,rd,.032292463,.026438052,.0085108094,.014365222
4,.0035297566398953,.0013398979453024,var_largescale,tfp,rd,.0061559565,.0048629553,.00090355665,.0021965583
5,.0037096021697894,.0027598304236985,var_largescale,cons,rd,.0091188699,.0064556333,-.0016996654,.0009635709
5,.0046371761235553,.002802189438474,var_largescale,gdp,rd,.010129468,.0074253548,-.00085511518,.0018489977
5,-.0011429642948585,.0008698508697623,var_largescale,infl,rd,.00056194339,-.00027746268,-.002847872,-.0020084658
5,.0058856020346813,.0069248940824734,var_largescale,invexrd,rd,.019458394,.012775872,-.0076871905,-.0010046676
5,-.0016463612826899,.0019628631454573,var_largescale,r,rd,.0022008505,.00030668755,-.0054935729,-.0035994102
5,.0166439932325764,.0062944290071493,var_largescale,rd,rd,.028981075,.02290695,.0043069124,.010381036
5,.0038924182198169,.0014647877009517,var_largescale,tfp,rd,.0067634019,.0053498819,.0010214343,.0024349545
6,.0042626830908161,.0029650649493701,var_largescale,cons,rd,.01007421,.0072129229,-.0015488442,.0013124435
6,.0050464274934604,.0029828203814643,var_largescale,gdp,rd,.010892755,.0080143334,-.00079990044,.0020785213
6,-.0006773074639953,.000831556687696,var_largescale,infl,rd,.00095254363,.00015009144,-.0023071587,-.0015047063
6,.0070244404589131,.0066444681230162,var_largescale,invexrd,rd,.020047598,.013635687,-.0059987172,.00041319468
6,-.0013789827279908,.0018666688430635,var_largescale,r,rd,.0022796881,.00047835277,-.0050376537,-.0032363182
6,.0133236926131459,.0063510986280939,var_largescale,rd,rd,.025771845,.019643037,.00087553932,.0070043495
6,.0040750792452923,.0015638566223158,var_largescale,tfp,rd,.0071402383,.0056311167,.0010099203,.002519042
7,.004669283343988,.0031285409421691,var_largescale,cons,rd,.010801224,.0077821817,-.0014626569,.0015563851
7,.0052785273368799,.0031198022765211,var_largescale,gdp,rd,.011393339,.0083827302,-.00083628512,.0021743241
7,-.0002349604574918,.0007924075615923,var_largescale,infl,rd,.0013181583,.00055348506,-.0017880793,-.0010234059
7,.0076932497560518,.006369640106634,var_largescale,invexrd,rd,.020177744,.014031041,-.0047912449,.0013554578
7,-.0010373526178352,.0017375759283223,var_largescale,r,rd,.0023682963,.00069153542,-.0044430015,-.0027662406
7,.0104186450574434,.006280759274602,var_largescale,rd,rd,.022728933,.016668001,-.0018916432,.0041692895
7,.0041078632667065,.0016339050862657,var_largescale,tfp,rd,.0073103174,.005733599,.00090540928,.0024821276
8,.0049350466104496,.0032551334634005,var_largescale,cons,rd,.011315108,.0081739044,-.001445015,.0016961888
8,.0053608516836097,.0032193329249434,var_largescale,gdp,rd,.011670744,.0085640876,-.00094904087,.0021576155
8,.0001599590575384,.000762621967574,var_largescale,infl,rd,.0016546982,.00091876794,-.00133478,-.00059884979
8,.0079609969496311,.0061197035310106,var_largescale,invexrd,rd,.019955616,.014050102,-.0040336219,.0018718919
8,-.0006649856612469,.0015975985454871,var_largescale,r,rd,.0024663075,.00092462491,-.0037962787,-.0022545962
8,.0079005806978306,.0061299774979676,var_largescale,rd,rd,.019915337,.013999908,-.0041141752,.0018012531
8,.0040202356905792,.001674048174339,var_largescale,tfp,rd,.0073013701,.0056859138,.00073910126,.0023545579
9,.0050723112846464,.0033483551431449,var_largescale,cons,rd,.011635087,.0084039243,-.0014904648,.0017406979
9,.0053206040592232,.0032860982954966,var_largescale,gdp,rd,.011761357,.0085902717,-.0011201486,.0020509362
9,.0004941476020949,.0007459673257777,var_largescale,infl,rd,.0019562435,.0012363851,-.00096794835,-.0002480899
9,.0079089298536765,.0058817638496155,var_largescale,invexrd,rd,.019437186,.013761285,-.0036193272,.0020565749
9,-.0002951388267761,.0014664504609252,var_largescale,r,rd,.0025791042,.0011639794,-.0031693818,-.001754257
9,.0057414625781865,.0059381449587019,var_largescale,rd,rd,.017380226,.011649917,-.0058973017,-.00016699165
9,.0038394320091435,.0016867497288612,var_largescale,tfp,rd,.0071454616,.0055177482,.00053340255,.0021611161
10,.0050971339650629,.0034112266049395,var_largescale,cons,rd,.011783138,.0084913047,-.0015888702,.0017029635
10,.0051831705855275,.0033239381982884,var_largescale,gdp,rd,.01169809,.0084904889,-.0013317483,.0018758521
10,.0007618764064051,.0007402660777041,var_largescale,infl,rd,.002212798,.0014984412,-.00068904512,.00002531166
10,.0076158146587243,.0056373987563377,var_largescale,invexrd,rd,.018665116,.013225026,-.0034334869,.0020066029
10,.0000484712505753,.0013576677669988,var_largescale,r,rd,.0027095,.0013993507,-.0026125575,-.0013024082
10,.0039152679761711,.0057337875348229,var_largescale,rd,rd,.015153492,.0096203862,-.0073229554,-.0017898506
10,.003589865908876,.0016766115905029,var_largescale,tfp,rd,.0068760244,.0052580945,.0003037072,.0019216373
11,.0050272811132931,.0034468220922335,var_largescale,cons,rd,.011783052,.0084568691,-.0017284902,.0015976931
11,.0049715182716043,.0033363148971911,var_largescale,gdp,rd,.011510695,.0082911514,-.001567659,.001651885
11,.0009626517463254,.0007398740543256,var_largescale,infl,rd,.0024128049,.0016988264,-.00048750141,.00022647706
11,.007151828478626,.0053778895136736,var_largescale,invexrd,rd,.017692491,.012502829,-.0033888349,.0018008284
11,.0003502424827138,.0012757495658673,var_largescale,r,rd,.0028507116,.0016196133,-.0021502266,-.00091912836
11,.0023978248811653,.0055347525799522,var_largescale,rd,rd,.01324594,.007904904,-.0084502902,-.0031092539
11,.0032929876098058,.0016491168155749,var_largescale,tfp,rd,.0065252567,.0049338588,.000060718652,.0016521164
12,.0048808770263571,.0034585573406924,var_largescale,cons,rd,.011659649,.0083221411,-.0018978954,.0014396125
12,.0047060536139771,.0033267967815337,var_largescale,gdp,rd,.011226575,.0080162166,-.0018144681,.0013958908
12,.0010995254169751,.0007386630958384,var_largescale,infl,rd,.0025473051,.0018344952,-.00034825425,.00036455563
12,.0065766589276039,.0051072591051713,var_largescale,invexrd,rd,.016586887,.011658382,-.0034335689,.0014949361
